prt_id,conf_total,pnp,pnr
/home/jaydy/work/astex/1a07C1/1a07C.pdb,11,344,104
/home/jaydy/work/astex/1a0qB1/1a0qB.pdb,11,658,205
/home/jaydy/work/astex/1a28B1/1a28B.pdb,11,830,249
/home/jaydy/work/astex/1a42A1/1a42A.pdb,11,837,256
/home/jaydy/work/astex/1a4gA1/1a4gA.pdb,11,1267,390
/home/jaydy/work/astex/1a4kB1/1a4kB.pdb,11,693,217
/home/jaydy/work/astex/1aaqB1/1aaqB.pdb,11,310,99
/home/jaydy/work/astex/1abeA1/1abeA.pdb,11,989,305
/home/jaydy/work/astex/1abeA2/1abeA.pdb,11,989,305
/home/jaydy/work/astex/1abfA1/1abfA.pdb,11,989,305
/home/jaydy/work/astex/1abfA2/1abfA.pdb,11,989,305
/home/jaydy/work/astex/1acjA1/1acjA.pdb,11,1727,528
/home/jaydy/work/astex/1aclA1/1aclA.pdb,11,1724,527
/home/jaydy/work/astex/1acmA1/1acmA.pdb,11,1011,310
/home/jaydy/work/astex/1aecA1/1aecA.pdb,11,685,218
/home/jaydy/work/astex/1ahaA1/1ahaA.pdb,11,797,246
/home/jaydy/work/astex/1aoeB1/1aoeB.pdb,11,635,192
/home/jaydy/work/astex/1aptA1/1aptA.pdb,11,1001,323
/home/jaydy/work/astex/1apuA1/1apuA.pdb,11,1001,323
/home/jaydy/work/astex/1aqwC1/1aqwC.pdb,11,675,209
/home/jaydy/work/astex/1aseA1/1aseA.pdb,11,1289,396
/home/jaydy/work/astex/1atlB1/1atlB.pdb,11,657,200
/home/jaydy/work/astex/1azmA1/1azmA.pdb,11,841,258
/home/jaydy/work/astex/1b59A1/1b59A.pdb,11,1159,355
/home/jaydy/work/astex/1b9vA1/1b9vA.pdb,11,1264,390
/home/jaydy/work/astex/1bbpA1/1bbpA.pdb,11,569,173
/home/jaydy/work/astex/1bgoA1/1bgoA.pdb,11,692,215
/home/jaydy/work/astex/1bl7A1/1bl7A.pdb,11,1161,351
/home/jaydy/work/astex/1bmaA1/1bmaA.pdb,11,756,240
/home/jaydy/work/astex/1bmqB1/1bmqB.pdb,11,297,88
/home/jaydy/work/astex/1bybA1/1bybA.pdb,11,1610,491
/home/jaydy/work/astex/1c12B1/1c12B.pdb,11,703,220
/home/jaydy/work/astex/1c1eB1/1c1eB.pdb,11,703,219
/home/jaydy/work/astex/1c5cB1/1c5cB.pdb,11,683,215
/home/jaydy/work/astex/1c5xB1/1c5xB.pdb,11,812,248
/home/jaydy/work/astex/1c83A1/1c83A.pdb,11,1002,297
/home/jaydy/work/astex/1cbsA1/1cbsA.pdb,11,454,137
/home/jaydy/work/astex/1cf8B1/1cf8B.pdb,11,690,218
/home/jaydy/work/astex/1cilA1/1cilA.pdb,11,837,256
/home/jaydy/work/astex/1cinA1/1cinA.pdb,11,837,256
/home/jaydy/work/astex/1ckpA1/1ckpA.pdb,11,922,279
/home/jaydy/work/astex/1coyA1/1coyA.pdb,11,1600,501
/home/jaydy/work/astex/1cttA1/1cttA.pdb,11,945,294
/home/jaydy/work/astex/1d4pB1/1d4pB.pdb,11,825,250
/home/jaydy/work/astex/1dbbB1/1dbbB.pdb,11,701,219
/home/jaydy/work/astex/1dbmB1/1dbmB.pdb,11,701,219
/home/jaydy/work/astex/1dg5A1/1dg5A.pdb,11,512,159
/home/jaydy/work/astex/1dhfA1/1dhfA.pdb,11,607,182
/home/jaydy/work/astex/1didB1/1didB.pdb,11,1270,393
/home/jaydy/work/astex/1dmpB1/1dmpB.pdb,11,307,98
/home/jaydy/work/astex/1dr1A1/1dr1A.pdb,11,620,186
/home/jaydy/work/astex/1dwbB1/1dwbB.pdb,11,849,258
/home/jaydy/work/astex/1dwcB1/1dwcB.pdb,11,849,258
/home/jaydy/work/astex/1dwdB1/1dwdB.pdb,11,849,258
/home/jaydy/work/astex/1dy9A1/1dy9A.pdb,11,544,175
